Workers [j],Workers in row [j],Workers in column [j],Ants number [j],Board width [j],Board height [j],Border width [j],Border height [j],Max desynchronization [j],Duration [us]
1,1,1,1600,1000,1000,1,1,1,35452269
1,1,1,1600,1000,1000,5,5,5,23633238
1,1,1,1600,1000,1000,10,10,10,21812966
1,1,1,1600,1000,1000,20,20,20,21117201
1,1,1,1600,1000,1000,50,50,50,20940522
2,1,2,800,1000,500,1,1,1,18532068
2,1,2,800,1000,500,5,5,5,12091650
2,1,2,800,1000,500,10,10,10,11396814
2,1,2,800,1000,500,20,20,20,10963071
2,1,2,800,1000,500,50,50,50,11389939
4,2,2,400,500,500,1,1,1,10823913
4,2,2,400,500,500,5,5,5,6953181
4,2,2,400,500,500,10,10,10,6250844
4,2,2,400,500,500,20,20,20,6103610
4,2,2,400,500,500,50,50,50,5780898
8,2,4,200,500,250,1,1,1,6274162
8,2,4,200,500,250,5,5,5,3582900
8,2,4,200,500,250,10,10,10,3337766
8,2,4,200,500,250,20,20,20,3210581
8,2,4,200,500,250,50,50,50,3087800
16,4,4,100,250,250,1,1,1,5774602
16,4,4,100,250,250,5,5,5,3742756
16,4,4,100,250,250,10,10,10,3488040
16,4,4,100,250,250,20,20,20,3236265
16,4,4,100,250,250,50,50,50,3247097
