Workers [j],Workers in row [j],Workers in column [j],Ants number [j],Board width [j],Board height [j],Border width [j],Border height [j],Max desynchronization [j],Duration [us]
1,1,1,1600,1000,1000,1,1,1,38731846
1,1,1,1600,1000,1000,5,5,5,25599103
1,1,1,1600,1000,1000,10,10,10,24057302
1,1,1,1600,1000,1000,20,20,20,23208667
1,1,1,1600,1000,1000,50,50,50,22677242
2,1,2,800,1000,500,1,1,1,26270223
2,1,2,800,1000,500,5,5,5,14375066
2,1,2,800,1000,500,10,10,10,12457014
2,1,2,800,1000,500,20,20,20,11767979
2,1,2,800,1000,500,50,50,50,11362079
4,2,2,400,500,500,1,1,1,25279062
4,2,2,400,500,500,5,5,5,13963444
4,2,2,400,500,500,10,10,10,12801237
4,2,2,400,500,500,20,20,20,11701354
4,2,2,400,500,500,50,50,50,11469206
8,2,4,200,500,250,1,1,1,19877123
8,2,4,200,500,250,5,5,5,12908428
8,2,4,200,500,250,10,10,10,12106203
8,2,4,200,500,250,20,20,20,11620147
8,2,4,200,500,250,50,50,50,11318433
16,4,4,100,250,250,1,1,1,19757159
16,4,4,100,250,250,5,5,5,12986239
16,4,4,100,250,250,10,10,10,12222328
16,4,4,100,250,250,20,20,20,11587345
16,4,4,100,250,250,50,50,50,11404444
