Max steps: 100
Max duration: 3600 [s]

Workers [j],Workers in row [j],Workers in column [j],Ants number [j],Board width [j],Board height [j],Border width [j],Border height [j],Max desynchronization [j],Duration [us]
1,1,1,1600,1000,1000,100,100,100,19512125
2,1,2,800,1000,500,100,100,100,19065386
4,2,2,400,500,500,100,100,100,18931020
8,2,4,200,500,250,100,100,100,19046690
16,4,4,100,250,250,100,100,100,19004812
